Trial,Wire,NetType,Run,RunSteps,NetworkFilename,Image,Forward,Left,LeftRotation
10,1fail,actor,21,4,actor_21_4.h5,04,0.489178,0.0442575,0.0229854
10,1fail,actor,21,4,actor_21_4.h5,05,0.485336,0.023309,-0.00787319
10,1fail,actor,21,4,actor_21_4.h5,06,0.490204,0.0355379,0.0214198
10,1fail,actor,21,4,actor_21_4.h5,07,0.48592,0.0365676,-0.0215036
10,1fail,actor,21,4,actor_21_4.h5,08,0.489104,0.0536796,-0.00363857
10,1fail,actor,21,4,actor_21_4.h5,09,0.493051,0.0130192,0.00424124
10,1fail,actor,21,4,actor_21_4.h5,10,0.482048,0.00369296,0.0129859
10,1fail,actor,21,4,actor_21_4.h5,11,0.486104,0.0392854,0.0107505
10,1fail,actor,21,4,actor_21_4.h5,12,0.490787,0.0311291,-0.0232288
10,1fail,actor,21,4,actor_21_4.h5,13,0.48712,0.0337032,0.00559269
10,1fail,actor,21,4,actor_21_4.h5,14,0.490852,0.0505235,0.00366514
10,1fail,actor,21,4,actor_21_4.h5,15,0.483058,0.0015565,0.0161811
10,1fail,actor,21,4,actor_21_4.h5,16,0.489884,0.051302,-0.00904064
10,1fail,actor,221,11,actor_221_11.h5,01,0.359666,0.318501,0.0556626
10,1fail,actor,221,11,actor_221_11.h5,02,0.355325,0.216397,-0.0958534
10,1fail,actor,221,11,actor_221_11.h5,03,0.350916,0.402602,0.0959971
10,1fail,actor,221,11,actor_221_11.h5,04,0.382288,0.137878,-0.113464
10,1fail,actor,221,11,actor_221_11.h5,05,0.350392,0.358849,0.0336181
10,1fail,actor,221,11,actor_221_11.h5,06,0.347781,0.399668,0.114914
10,1fail,actor,221,11,actor_221_11.h5,07,0.357831,0.177709,-0.125585
10,1fail,actor,221,11,actor_221_11.h5,08,0.383929,0.130969,-0.231392
10,1fail,actor,221,11,actor_221_11.h5,09,0.39703,0.197796,-0.0404055
10,1fail,actor,221,11,actor_221_11.h5,10,0.34661,0.428748,0.145869
10,1fail,actor,221,11,actor_221_11.h5,11,0.357107,0.319288,-0.00119644
10,1fail,actor,221,11,actor_221_11.h5,12,0.361704,0.208399,-0.116967
10,1fail,actor,221,11,actor_221_11.h5,13,0.346032,0.438652,0.138388
10,1fail,actor,221,11,actor_221_11.h5,14,0.377105,0.160626,-0.204077
10,1fail,actor,221,11,actor_221_11.h5,15,0.352691,0.414521,0.151956
10,1fail,actor,221,11,actor_221_11.h5,16,0.357175,0.244495,-0.152401
10,1fail,actor,231,12,actor_231_12.h5,01,0.353752,0.291424,0.0419088
10,1fail,actor,231,12,actor_231_12.h5,02,0.34911,0.176146,-0.102126
10,1fail,actor,231,12,actor_231_12.h5,03,0.344399,0.390792,0.0876577
10,1fail,actor,231,12,actor_231_12.h5,04,0.378596,0.0931671,-0.134474
10,1fail,actor,231,12,actor_231_12.h5,05,0.344078,0.341996,0.0317073
10,1fail,actor,231,12,actor_231_12.h5,06,0.341047,0.388867,0.120444
10,1fail,actor,231,12,actor_231_12.h5,07,0.35258,0.127801,-0.138412
10,1fail,actor,231,12,actor_231_12.h5,08,0.379414,0.076571,-0.259265
10,1fail,actor,231,12,actor_231_12.h5,09,0.391819,0.180656,-0.048974
10,1fail,actor,231,12,actor_231_12.h5,10,0.339893,0.420867,0.149569
10,1fail,actor,231,12,actor_231_12.h5,11,0.351732,0.298844,-0.0113695
10,1fail,actor,231,12,actor_231_12.h5,12,0.356257,0.17255,-0.124542
10,1fail,actor,231,12,actor_231_12.h5,13,0.339209,0.43285,0.134296
